#,Name,Classification,Released games,Unreleased games,Total revenue,Avg revenue per game,HQ country,% developed in-house,% indie releases,Action,Casual,Adventure,Simulation,Strategy,RPG,MMO,Racing,Sports
1,Valve,AAA,37,1,$2.3bn,$61.2m,United States,0.95,0.03,0.79,0.11,0.11,0.03,0.11,0,0.05,0.03,0
2,Feral Interactive (Mac),AA,46,0,$1.6bn,$34.4m,United Kingdom,1,0,0.52,0,0.3,0.17,0.41,0.07,0,0.17,0.15
3,Feral Interactive (Linux),AA,30,0,$1.3bn,$44.1m,United Kingdom,1,0,0.4,0,0.17,0.13,0.57,0.03,0,0.17,0.17
4,CD PROJEKT RED,AA,9,0,$1.3bn,$140.8m,Poland,1,0,0.11,0,0.22,0,0.33,0.78,0,0,0
5,"KRAFTON, Inc.",AA,3,0,$1.2bn,$414.3m,South Korea,1,0,0.67,0,0.67,0.33,0.33,0.33,0.33,0,0
6,Aspyr (Mac),AA,12,0,$1.2bn,$98.7m,United States,1,0,0.33,0.08,0.33,0.42,0.67,0.17,0,0,0
7,Treyarch,AAA,11,0,$1.2bn,$107.3m,United States,0.09,0,0.91,0,0.18,0,0,0,0,0,0
8,Capcom Co. Ltd,AAA,53,2,$1.2bn,$21.9m,Japan,0.91,0,0.89,0,0.33,0,0,0.13,0,0,0
9,Bethesda Game Studios,AAA,12,0,$1.1bn,$93.1m,United States,0,0,0,0,0,0.08,0,1,0,0,0
10,Ubisoft Montreal,AAA,38,0,$1.1bn,$28.2m,Canada,0.03,0,0.95,0.03,0.58,0,0.03,0.11,0,0,0
11,Creative Assembly,AA,21,3,$1bn,$47.9m,United Kingdom,0,0.08,0.46,0.04,0,0.04,0.83,0,0,0,0
12,"FromSoftware, Inc",AAA,6,0,$1bn,$167.3m,Japan,0.83,0,1,0,0,0,0,0.5,0,0,0
13,Aspyr (Linux),AA,6,0,$958.7m,$159.8m,United States,1,0,0.5,0,0,0,0.5,0.33,0,0,0
14,Infinity Ward,AA,13,0,$946.9m,$72.8m,United States,0,0,0.92,0,0.08,0,0,0,0,0,0
15,Firaxis Games,AA,21,1,$943.5m,$44.9m,United States,0,0,0,0.09,0,0,0.95,0.09,0,0,0
16,Raven Software,Indie,20,0,$843.1m,$42.2m,United States,0,0,1,0,0,0,0,0,0,0.05,0
17,Sledgehammer Games,Indie,9,0,$804.5m,$89.4m,United States,0,0,1,0,0,0,0,0,0,0,0
18,Larian Studios,AA,8,0,$755.9m,$94.5m,Belgium,1,0.25,0.13,0,0.5,0,0.63,1,0,0,0
19,Rockstar North,AAA,6,0,$754.1m,$125.7m,United Kingdom,0,0,1,0,0.33,0,0.17,0,0,0,0
20,Beenox,Indie,11,0,$694.5m,$63.1m,N/A,0,0,0.91,0,0.18,0,0,0,0,0.09,0
21,High Moon Studios,Indie,6,0,$672.3m,$112m,United States,0,0,1,0,0,0,0,0,0,0,0
22,Toys for Bob,Indie,5,0,$666.1m,$133.2m,United States,0,0.2,1,0,0.4,0,0.2,0,0,0,0
23,Activision Shanghai,Indie,4,0,$659.8m,$164.9m,N/A,0,0,1,0,0,0,0,0,0,0,0
24,Demonware,Indie,3,0,$652.7m,$217.6m,N/A,0,0,1,0,0,0,0,0,0,0,0
25,Paradox Development Studio,AA,18,0,$649m,$36.1m,Sweden,0,0,0,0,0,0.5,1,0.17,0,0,0
26,Hidden Path Entertainment,Indie,5,0,$646.2m,$129.2m,United States,0.4,0.6,0.2,0.2,0.2,0.2,0.6,0.2,0.2,0,0
27,Bohemia Interactive,AAA,21,0,$638.1m,$30.4m,Czech Republic,1,0.1,0.67,0.1,0.24,0.57,0.57,0,0.05,0,0
28,DICE,Indie,12,0,$588.1m,$49m,N/A,0,0,1,0.08,0.42,0,0.08,0,0.08,0,0
29,Rockstar Games,AAA,9,0,$564.9m,$62.8m,United States,1,0,1,0,0.67,0,0,0,0,0,0
30,Techland,AA,14,0,$542.4m,$38.7m,Poland,0.14,0,0.71,0,0.07,0.14,0,0.29,0,0.29,0
31,Blue Mammoth Games,Indie,1,0,$502.4m,$502.4m,United States,0,1,1,0,0,0,0,0,0,0,0
32,Gearbox Software,AA,19,0,$487.6m,$25.7m,United States,0,0,0.84,0.05,0.16,0.05,0.05,0.42,0,0,0
33,Instinct Games,Indie,3,0,$474.8m,$158.3m,N/A,0,0.67,1,0,1,0,0.33,1,1,0,0
34,Virtual Basement LLC,Indie,5,0,$454.5m,$90.9m,N/A,0.2,1,1,0.2,0.6,0,0.6,0.6,0.6,0,0.2
